deal_id,contact_id,user_id,deal_name,stage,value,probability,expected_close_date,created_date,last_updated
1,7,1,HealthFirst Healthcare Compliance Solution,Negotiation,200000,85,2024-08-30,2024-02-12,2024-08-01
2,11,5,FinanceFlow Financial Reporting Software,Negotiation,150000,90,2024-08-25,2024-02-22,2024-08-09
3,15,3,EduTech Educational Platform Expansion,Proposal,85000,80,2024-09-15,2024-03-03,2024-08-15
4,23,2,BioTech Research Platform,Proposal,130000,85,2024-09-10,2024-03-22,2024-08-13
5,27,1,RealEstate Plus CRM System,Negotiation,170000,88,2024-08-20,2024-04-01,2024-08-12
6,35,3,SportsTech Analytics Dashboard,Proposal,65000,82,2024-09-05,2024-04-20,2024-08-10
7,43,2,LegalTech Document Management,Proposal,125000,87,2024-09-12,2024-05-10,2024-08-03
8,47,1,BuildTech Construction Tracking,Negotiation,190000,91,2024-08-28,2024-05-20,2024-08-04
9,51,5,PharmaConnect Compliance System,Proposal,145000,84,2024-09-08,2024-05-30,2024-08-13
10,59,4,SmartHome Automation Platform,Proposal,120000,86,2024-09-18,2024-06-18,2024-08-15
11,67,1,GameDev Development Tools,Proposal,100000,83,2024-09-20,2024-07-08,2024-08-14
12,71,5,VR Innovations Training Platform,Negotiation,135000,89,2024-08-22,2024-07-18,2024-08-03
13,75,3,IoT Solutions Device Management,Proposal,125000,81,2024-09-25,2024-07-28,2024-08-12
14,83,2,QuantumFlow Computing Platform,Proposal,200000,88,2024-09-30,2024-08-14,2024-08-12
15,91,5,OceanTech Monitoring Platform,Proposal,115000,85,2024-09-22,2024-02-15,2024-08-15
16,95,3,UrbanTech Planning Software,Negotiation,155000,92,2024-08-26,2024-02-25,2024-08-11
17,99,4,FutureTech Research Platform,Proposal,175000,87,2024-09-28,2024-03-08,2024-08-14
18,1,1,TechFlow Enterprise Solution,Proposal,75000,80,2024-09-14,2024-01-15,2024-08-10
19,5,3,DataMind Analytics Upgrade,Closed Won,120000,100,2024-07-15,2024-02-05,2024-07-15
20,13,2,ManufacturePro Automation,Closed Won,180000,100,2024-06-30,2024-02-28,2024-06-30
21,17,1,CloudFirst Migration Services,Closed Won,110000,100,2024-06-25,2024-03-08,2024-06-25
22,21,5,SecureGuard Security Audit,Closed Won,95000,100,2024-07-10,2024-03-18,2024-07-10
23,25,3,AgriSmart IoT Solutions,Proposal,60000,55,2024-09-16,2024-03-28,2024-08-09
24,29,4,MediaStream Platform Enhancement,Closed Won,115000,100,2024-07-20,2024-04-05,2024-08-15
25,33,2,FoodTech Safety Tracking,Closed Lost,80000,0,2024-06-20,2024-04-15,2024-08-14
26,37,1,AutoInnovate Testing Platform,Proposal,140000,76,2024-09-24,2024-04-25,2024-08-07
27,41,5,InsureTech Claim Automation,Closed Won,105000,100,2024-07-10,2024-05-05,2024-08-06
28,45,3,ConsultPro Project Management,Closed Lost,160000,0,2024-07-25,2024-05-15,2024-08-08
29,49,4,CleanEnergy Monitoring System,Proposal,95000,67,2024-09-21,2024-05-25,2024-08-09
30,57,1,WellnessTech Tracking Platform,Discovery,75000,71,2024-10-15,2024-06-12,2024-08-08
31,65,3,PetTech Health Monitoring,Discovery,45000,62,2024-10-30,2024-07-02,2024-08-07
32,69,4,DroneFlow Fleet Management,Discovery,90000,69,2024-10-20,2024-07-12,2024-08-06
33,77,1,AI Research Platform,Discovery,180000,77,2024-10-25,2024-08-01,2024-08-13
34,81,5,SpaceTech Mission Software,Discovery,160000,75,2024-11-05,2024-08-10,2024-08-05
35,87,1,GeoTech Mapping Software,Discovery,65000,46,2024-11-01,2024-02-05,2024-08-13
36,89,4,WeatherTech Prediction System,Discovery,55000,59,2024-10-18,2024-02-10,2024-08-09
37,93,2,MountainTech Gear Tracking,Discovery,70000,63,2024-10-12,2024-02-20,2024-08-03
38,97,1,RuralTech Connectivity,Discovery,50000,57,2024-11-10,2024-03-02,2024-08-07
39,55,3,GlobalTrade Software Solution,Discovery,85000,42,2024-10-08,2024-06-08,2024-08-06
40,63,2,FashionTech Analytics Platform,Discovery,55000,48,2024-10-14,2024-06-28,2024-08-09
41,2,1,TechFlow Engineering Collaboration,Proposal,85000,68,2024-09-11,2024-03-15,2024-08-04
42,4,2,GreenEnergy Procurement System,Closed Lost,60000,0,2024-06-18,2024-03-20,2024-08-12
43,6,3,DataMind Sales Analytics,Proposal,130000,73,2024-09-13,2024-03-25,2024-08-08
44,8,1,HealthFirst IT Infrastructure,Proposal,165000,84,2024-09-17,2024-04-01,2024-08-05
45,10,4,RetailMax Marketing Automation,Closed Lost,95000,0,2024-06-25,2024-04-08,2024-08-13
46,12,5,FinanceFlow Risk Management,Negotiation,140000,90,2024-08-24,2024-04-15,2024-08-09
47,14,2,ManufacturePro Quality Platform,Proposal,120000,75,2024-09-19,2024-04-22,2024-08-06
48,16,3,EduTech Academic Management,Closed Lost,75000,0,2024-06-28,2024-04-29,2024-08-14
49,18,1,CloudFirst Customer Success,Proposal,105000,72,2024-09-22,2024-05-06,2024-08-02
50,20,4,LogiTransport Fleet Management,Proposal,85000,86,2024-09-20,2024-05-13,2024-08-11
51,101,6,中科创新 Enterprise Innovation Platform,Negotiation,280000,75,2024-08-28,2024-01-12,2024-08-12
52,102,7,华为数字 Digital Transformation,Proposal,450000,85,2024-09-15,2024-01-18,2024-08-10
53,105,8,阿里巴巴 B2B Platform Integration,Proposal,380000,80,2024-09-20,2024-02-08,2024-08-13
54,107,6,百度智能云 AI Analytics Platform,Negotiation,310000,90,2024-08-30,2024-02-20,2024-08-11
55,108,7,金蝶 ERP Software Solution,Proposal,260000,70,2024-09-18,2024-02-25,2024-08-09
56,109,8,用友网络 Business Management Platform,Proposal,240000,82,2024-09-25,2024-03-02,2024-08-15
57,110,6,海康威视 Security System Upgrade,Proposal,200000,68,2024-09-22,2024-03-08,2024-08-06
58,111,7,大华技术 Video Surveillance Platform,Proposal,180000,84,2024-09-28,2024-03-15,2024-08-12
59,112,8,科大讯飞 Speech AI Integration,Proposal,220000,72,2024-09-30,2024-03-20,2024-08-04
60,113,6,比亚迪汽车 Automotive Tech Platform,Proposal,350000,86,2024-10-05,2024-03-25,2024-08-10
61,114,7,宁德时代 Battery Management System,Proposal,300000,74,2024-10-08,2024-04-01,2024-08-14
62,115,8,三一重工 Heavy Machinery IoT,Negotiation,420000,88,2024-09-12,2024-04-08,2024-08-08
63,116,6,徐工集团 Construction Equipment Platform,Proposal,380000,76,2024-10-10,2024-04-15,2024-08-13
64,117,7,美的集团 Smart Appliance Platform,Proposal,250000,83,2024-10-12,2024-04-20,2024-08-07
65,118,8,格力电器 HVAC Control System,Proposal,230000,71,2024-10-15,2024-04-25,2024-08-11
66,119,6,京东物流 Logistics Optimization,Proposal,280000,85,2024-10-18,2024-05-01,2024-08-09
67,120,7,顺丰速运 Express Delivery Tech,Proposal,260000,73,2024-10-20,2024-05-08,2024-08-15
68,121,8,新东方 Education Platform Upgrade,Negotiation,190000,89,2024-09-25,2024-05-15,2024-08-05
69,122,6,好未来 Online Education Platform,Proposal,210000,77,2024-10-22,2024-05-20,2024-08-12
70,124,7,腾讯云 Cloud Migration Services,Discovery,280000,69,2024-11-01,2024-06-15,2024-08-11
71,125,8,阿里巴巴 E-commerce Platform,Discovery,300000,66,2024-11-05,2024-06-20,2024-08-06
72,126,6,金蝶 Financial Software Upgrade,Proposal,220000,81,2024-10-25,2024-06-25,2024-08-14
73,127,7,海康威视 Security Analytics,Discovery,240000,65,2024-11-08,2024-07-01,2024-08-09
74,128,8,科大讯飞 Voice Recognition System,Proposal,200000,78,2024-10-28,2024-07-08,2024-08-13
75,129,6,美的集团 IoT Home Solutions,Discovery,190000,62,2024-11-10,2024-07-15,2024-08-07